ID# of Imaged TAD,Start gemomic coordinate,End genomic coordinate
1,0,1440000
2,2600000,3000000
3,4080000,5120000
4,6040000,7840000
5,8680000,9400000
6,10360000,11520000
7,14000000,16720000
8,17400000,18240000
9,19600000,20000000
10,20760000,22200000
11,24000000,24880000
12,28080000,30880000
13,31440000,31720000
14,32360000,32600000
15,32840000,33760000
16,34000000,34240000
17,35240000,35600000
18,36640000,39040000
19,39760000,41480000
20,42280000,42960000
21,44760000,45240000
22,45720000,47280000
23,48000000,49000000
24,49400000,49640000
25,50240000,51600000
26,52280000,52720000
27,54360000,55360000
28,56200000,57560000
29,60000000,60160000
30,60920000,61600000
