Serial # of the imaged chromosome,ID # of the imaged TAD,x(um),y(um),z(um)
1,1,25.835419,15.595044,1.985843
1,2,26.0293,15.871345,1.802196
1,3,26.330609,15.463995,1.890279
1,4,,,
1,5,26.598398,15.884557,1.82657
1,6,26.787114,15.381166,2.222708
1,7,27.68059,14.86071,1.999343
1,8,26.544946,13.906259,1.210653
1,9,26.97741,14.997913,2.170414
1,10,27.206408,15.089076,1.62288
1,11,27.321957,14.883871,1.62194
1,12,26.709573,14.52815,1.415801
1,13,27.211641,14.342779,2.542683
1,14,27.289135,14.414344,2.257683
1,15,27.281273,14.468562,1.995603
1,16,25.603823,14.248039,0.85123
1,17,26.70072,14.431405,0.674855
1,18,,,
1,19,27.226363,14.144874,1.933289
1,20,25.904555,14.673583,1.708208
1,21,26.796631,15.384553,1.745961
1,22,26.337284,15.141452,2.102133
1,23,25.829255,15.438256,1.201607
1,24,26.689511,13.741221,2.136207
1,25,26.237023,13.919798,1.649882
1,26,26.318402,14.448257,2.166733
1,27,26.584867,14.559398,2.028787
2,1,23.727164,14.366555,0.714542
2,2,23.523894,15.435622,1.18668
2,3,23.766619,16.624749,1.589916
2,4,23.152407,15.428608,0.992718
2,5,23.653914,15.630176,1.872498
2,6,24.305553,15.505885,0.964942
2,7,23.564819,15.74995,1.004436
2,8,24.044085,15.753216,1.086112
2,9,24.067679,16.006025,1.047776
2,10,24.414836,15.68801,1.429734
2,11,24.698611,15.722992,1.86909
2,12,24.49573,15.573345,1.519301
2,13,23.056375,14.792879,1.938857
2,14,23.570414,15.974841,0.840531
2,15,23.291431,16.596273,1.655169
2,16,23.557067,16.705694,1.42982
2,17,23.554615,16.108171,1.624357
2,18,22.906855,16.2595,1.618908
2,19,23.894761,16.050253,1.458627
2,20,24.230099,15.983862,1.477235
2,21,23.752123,16.722354,1.496454
2,22,23.972689,16.917986,1.707905
2,23,24.229842,16.756434,1.300662
2,24,24.299536,16.553986,1.418151
2,25,24.369231,15.836111,2.036622
2,26,24.350863,14.824356,0.997238
2,27,25.243487,14.941778,1.434588
3,1,27.517265,15.749025,2.280584
3,2,27.967365,16.126752,2.022345
3,3,28.610931,16.440261,2.034508
3,4,28.27939,16.194873,1.612448
3,5,28.596816,16.205362,1.325076
3,6,28.956065,16.015477,2.017565
3,7,29.121131,16.139627,1.916584
3,8,28.762472,15.248198,2.146007
3,9,28.895173,15.477748,2.157224
3,10,28.50003,15.062401,1.917846
3,11,28.064946,14.896583,1.731439
3,12,27.858745,14.511534,2.042418
3,13,28.254781,14.534429,2.315237
3,14,27.854319,14.737632,2.196299
3,15,28.293192,15.365399,1.927922
3,16,28.24725,16.016965,1.989558
3,17,28.437999,15.79237,2.174145
3,18,28.545742,16.38212,1.844946
3,19,27.552224,16.140701,1.969259
3,20,27.337148,15.163229,1.791911
3,21,27.365028,16.320425,1.541748
3,22,27.230719,16.252437,2.374256
3,23,27.193084,15.795902,0.995232
3,24,,,
3,25,,,
3,26,28.364474,15.532033,1.634144
3,27,27.327571,15.566421,2.135639
4,1,24.14606,18.00703,3.539065
4,2,23.95367,17.83926,2.62833
4,3,23.384856,18.497036,2.442858
4,4,23.494658,18.738547,2.013182
4,5,23.038882,18.808324,1.810236
4,6,24.233418,18.55099,2.983374
4,7,23.916153,17.973305,2.803118
4,8,23.713061,18.077915,2.539635
4,9,23.832714,17.901697,2.301051
4,10,23.73366,18.323155,2.293848
4,11,23.742439,17.833139,1.422813
4,12,24.019638,17.840346,1.588102
4,13,24.254506,18.297597,3.267951
4,14,23.925976,17.118193,2.06106
4,15,25.137853,18.478512,2.367217
4,16,24.670973,18.424304,2.268442
4,17,24.820198,18.377092,1.843189
4,18,25.575448,18.505281,1.826849
4,19,25.130893,18.388745,1.722864
4,20,24.564087,18.046166,2.210648
4,21,23.952964,17.65143,2.122305
4,22,24.145795,17.887018,2.430959
4,23,24.336413,17.97626,2.705956
4,24,24.450057,17.703305,2.779323
4,25,24.018368,17.385126,2.368847
4,26,24.432746,17.720165,3.623397
4,27,24.517215,18.393683,2.169746
5,1,21.558258,18.703068,0.918435
5,2,21.371106,18.765844,1.399708
